track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
01YEqVPCm0vqRLA9w43bic,Hanggang Kailan,57,230453,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4JSDhJVmo2UqdF7nxbyenn,Kung Wala Ka,63,242800,6Ww3OMFzCaO33ulKh1LBFN,Hale,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
6NFKf8vBApSvtzkapYmnVR,Tadhana,66,222446,3wbCeEPAW6po7J46netxMT,Up Dharma Down,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
2PcbtMoqOlGSzOfyJlkB06,Your Love - Dolce Amore Teleserye Theme,59,250803,4BNWanhw4AjSXjBm9L1Jzy,Juris,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4r7vGTk9HCW7YDorNWoclF,Meron Nang Iba,53,240360,"['4nGp682WMiKS4X217kPw8C', '4DWdVW78tmeOIWHqN4D2Yk']","['Silent Sanctuary', 'Ashley Gosiengfiao']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
1A40ESJJPEEJrqjC9BUO2B,So Slow,0,275906,1ZfhyWZ9byvjFKEzBSa81I,Freestyle,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
6Cb8vtXpnOkje2zIyR6uK7,Kailan,45,277013,5elcNQkZ6FCZA3grSOMngY,MYMP,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
6GOAMiqZuXvJtixsSlbEKP,Porque - Chagalog Version,0,295426,1NOSCOKFdmNyek0IUT5R1G,Maldita,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
7CP31eGR55fjq4o0FLmkdT,Ikaw Na Nga,49,271266,1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0to3IMrhCSB2lMiCqal7xk,It's Not Easy Letting Go,47,224093,1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4aUf4lzQ1di5JajZ4a9FuI,"Torete - From ""Love You to the Stars And Back""",45,269583,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
5zMR44ZH4KVZj4FlhTj3SE,Magbalik,63,326813,4HOEnLufwAqJ2qoJPVnL01,Callalily,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
1wv76JKLy8fgpIa4n6JuMa,This Time (Original Movie Soundtrack),0,294208,"['24fEOzlKhgSNLIcy9NdmwH', '17Do37U0HEbxu1tOrKH8dL']","['James Reid', 'Nadine Lustre']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
1YDHJAVkG1Z6mnzu1Orpap,Tulad Mo,54,220933,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3PCE25CY0e1VMclfDGTXvE,Walang Iba,30,272280,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
5hWHHBX801NeP6jpt9mquW,Friend of Mine,51,210615,4BNWanhw4AjSXjBm9L1Jzy,Juris,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4LfJVdv2vaYIJ4vq8zXz0r,Ikaw At Ako Pa Rin,43,197653,"['7LvDTuFCBv08xm6u1pOMK0', '1mcqfNCReSFxun2vIWvC28']","['TJ Monterde', 'KZ Tandingan']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
5w2plvZa49j7MuL4Sen1Wz,Kasama Kang Tumanda,41,165253,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
2yJvhZL4L0Cd27UidOPXSv,Beautiful in my Eyes,50,246173,3RpJ6OyOnaXRFRXSirgQa6,Jericho Rosales,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
7aNGC3hDG7HuWhDFZH5mAu,Kung Akin Ang Mundo,51,208226,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0gP4VAQAkE2CJEFggGKsPn,Grow Old With You,55,150306,6DiAVYfSzZi8h1fGuTD6LI,Jimmy Bondoc,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
5qlJltYPAAp2aG9esHkAyA,More than you'll ever know,0,202053,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
5iiywmGbNU62D0QAKN9tdu,Nandito Ako,24,270586,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
6VC3cMS5TTzzjJUiGVMi8R,The one you love,0,276893,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0JSOSkwV6kYJczSguSZGB1,I will,0,163400,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3z7Ra4a79XbiZhkElubJD1,(They long to be) Close to you,0,184200,3pTaNQJ7TAU4yL7KEZp5sF,Nyoy Volante,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4BG8zJVA6vRMlLQxruHEWD,Out Of My League,25,223160,6DiAVYfSzZi8h1fGuTD6LI,Jimmy Bondoc,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
