track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7IyQSCvGgyhDgxn1vhnDQn,Lagrimas,06BTsb2ajQ1ALmWlHyqJBw,Mexican Music Ensemble,0rfsOkCWIPIvIifI5CTkqZ,87797,2015-12-09,12,0.423,0.227,4,-14.543,1,0.0403,0.967,0.878,0.103,0.522,86.456,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
7aAoVlmlTlrClxV0qFlsON,Sangre,06BTsb2ajQ1ALmWlHyqJBw,Mexican Music Ensemble,0rfsOkCWIPIvIifI5CTkqZ,105738,2015-12-09,13,0.621,0.508,5,-11.892,1,0.0312,0.848,0.963,0.146,0.488,90.037,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
1FpumhqdW3NVN1BIZXjYqQ,Sigo Siendo el Rey,02I75ziBaMPYTxy38WTzS6,Antonio Reyes,5dIlxNdRe212f77hNkXW4i,174666,2014-06-18,10,0.772,0.0584,0,-8.706,1,0.086,0.718,0.224,0.123,0.455,135.629,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
2CAJ9UWYlG7ndenEyAeElv,"Y Volver, Volver, Volver",02I75ziBaMPYTxy38WTzS6,Antonio Reyes,5dIlxNdRe212f77hNkXW4i,200813,2014-06-18,12,0.662,0.333,9,-9.278,1,0.0687,0.884,0.912,0.15,0.546,85.373,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
4szufvNQC9qUcd6PT5rUjT,Malagueña Salerosa,02I75ziBaMPYTxy38WTzS6,Antonio Reyes,5dIlxNdRe212f77hNkXW4i,192293,2014-06-18,14,0.517,0.291,4,-13.883,0,0.0544,0.885,0.91,0.114,0.43,180.235,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
4eLlLUT9M4tE0ohhCFrq49,Cielito Lindo,02I75ziBaMPYTxy38WTzS6,Antonio Reyes,5dIlxNdRe212f77hNkXW4i,178173,2014-06-18,11,0.81,0.412,0,-10.606,1,0.0503,0.896,0.851,0.113,0.879,150.387,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
3qmshOlHevNMjNOib8ERSf,Mejico Lindo,02I75ziBaMPYTxy38WTzS6,Antonio Reyes,5dIlxNdRe212f77hNkXW4i,187066,2014-06-18,10,0.832,0.353,9,-10.317,1,0.119,0.886,0.901,0.144,0.704,144.949,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
0wHINiXFGBuAoPyIYML5KG,3 Canciones mexicanas: I. Estrellita,3sam97auWZppQpYU1HWNxK,Manuel Ponce,0ebXDDdMXfPsMu7yyqiDcW,159453,2000-01-01,22,0.539,0.00527,5,-32.049,1,0.0775,0.995,0.934,0.0744,0.236,133.013,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
1sdWXIMZe8mBwzLC8jKdq7,Cumbia del Mole,3mXI2gpwWnNO9qbQG3n3EP,Lila Downs,45lcPME8vZyDkZcAC3qfA6,180640,2014-04-01,50,0.689,0.734,6,-5.207,0,0.0541,0.223,4.54e-05,0.126,0.962,80.077,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
3GKrRfIER0czGwKHuTSnMD,Por Las Calles De México,3CsPxFJGyNa9ep79CFWN77,La Sonora Santanera,4RN5IHsk0sNkUpG8ELO633,166800,2012-06-11,0,0.748,0.328,7,-16.219,0,0.043,0.697,6.5e-06,0.315,0.967,120.672,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
5D42s3vtQV0yJ5T1LtjADH,Guacamole,7qjoG7bwhAjSd7nJTcjgAk,Kevin Johansen,2HzWcwDz1vXbYF3TH7XaMX,300746,2000-07-18,48,0.588,0.607,4,-11.632,1,0.137,0.578,0.0994,0.141,0.762,172.26,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
1XYM4w6LHY9DkEKVXjdGzz,The Peanut Vendor,1ZKhPkCXXgtiGgALn4OYtT,Pérez Prado,0AqAcjYhjpkSXd972Ixy3e,161026,2000-11-25,36,0.534,0.775,10,-7.77,1,0.0686,0.679,0.767,0.193,0.916,173.947,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
6AerfqsL2ISs64dixwrfM5,Aguacate,76oqoGaknr9WGOegYTjxdh,Salomón Beda,1IgfNMFIkkqSoZpjp1aEf9,188355,2017-07-07,0,0.714,0.631,11,-8.111,1,0.0867,0.509,2.97e-06,0.381,0.5,94.994,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
5eKIsUOHyI4Rc576epTZGO,Piel Canela,6HnHBbeScFiQKXt3sUQA3Z,Eydie Gormé,1jbNBYDO9ceORyxH28ZNFf,136853,2014-02-28,0,0.779,0.407,4,-12.877,0,0.0385,0.848,0.0,0.147,0.804,117.894,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
1xQqAdL14WHwCUoCqwBVjk,Las Flores,1fHGzTSloWCtrlKfbLNVhM,Gepe,4n65tDbR2iIn5e9jgo9Zwv,158121,2017-05-26,49,0.654,0.453,7,-12.724,1,0.0614,0.872,0.0,0.334,0.71,140.996,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
0wQ2xkadkllQgL1mVQ4rSE,Chicharrones,2wpr4ILskkRzPBGodmbMs1,Compay Segundo,4W6m2GSdqjaJET161icuDU,270066,2013-07-02,21,0.422,0.537,8,-8.555,1,0.0313,0.277,4.49e-06,0.108,0.866,92.826,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
1j2hwajHISJ0BmrAd7y3AK,Limón,76oqoGaknr9WGOegYTjxdh,Salomón Beda,1IgfNMFIkkqSoZpjp1aEf9,272073,2017-07-07,0,0.624,0.411,5,-10.096,1,0.0345,0.72,0.0,0.155,0.644,143.869,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
4d1CoRChi1Hi2795N5JB3G,Coconut Water,1FcB6xMihhP9Hb6AdGVbWe,Desmond Dekker,6zmXwlVf8f9wpC4VEvpVUl,209360,1969-01-01,23,0.722,0.554,8,-5.939,1,0.0437,0.671,0.00104,0.063,0.639,168.873,4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines
